29460,"Lakeland-Winter Haven, FL",Florida,,,,EST,"724,777",16.55,3.7%,116,50,52,0.0,80.2%
29820,"Las Vegas-Henderson-Paradise, NV",Nevada,,,,PST,"2,266,715",17.14,4.0%,103,38,4,0.3,33.8%
30780,"Little Rock-North Little Rock-Conway, AR",Arkansas,,,,CST,"742,384",17.27,3.2%,105,31,50,3.5,75.3%
31080,"Los Angeles-Long Beach-Anaheim, CA",California,,,,PST,"13,214,799",20.52,4.0%,81,48,13,0.0,31.7%
31140,"Louisville/Jefferson County, KY-IN",Kentucky,Indiana,,,EST,"1,265,108",18.01,3.8%,95,27,45,12.5,74.1%
31540,"Madison, WI",Wisconsin,,,,CST,"664,865",21.19,2.5%,84,11,34,50.9,76.4%
31580,"McAllen-Edinburg-Mission, TX",Texas,,,,CST,"868,707",12.89,6.2%,122,50,22,0.0,67.6%
32820,"Memphis, TN-MS-AR",Tennessee,Mississippi,Arkansas,,CST,"1,346,045",17.09,4.2%,103,32,54,3.8,65.3%
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Florida,,,,EST,"6,166,488",17.76,2.8%,105,60,62,0.0,62.8%
33340,"Milwaukee-Waukesha, WI",Wisconsin,,,,CST,"1,575,179",19.58,3.5%,82,15,35,46.9,70.5%
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minnesota,Wisconsin,,,CST,"3,654,908",22.60,3.0%,86,7,31,54.4,67.2%
34980,"Nashville-Davidson–Murfreesboro–Franklin, TN",Tennessee,,,,CST,"1,934,317",18.70,2.6%,98,28,47,6.3,83.1%
35300,"New Haven-Milford, CT",Connecticut,,,,EST,"854,757",22.10,3.6%,89,19,52,31.0,77.6%
35380,"New Orleans-Metairie, LA",Louisiana,,,,CST,"1,270,530",17.12,4.5%,105,46,57,0.1,68.4%
35620,"New York-Newark-Jersey City, NY-NJ-PA",New York,New Jersey,Pennsylvania,,EST,"19,216,182",23.48,3.7%,86,27,50,25.8,63.6%
35840,"North Port-Sarasota-Bradenton, FL",Florida,,,,EST,"836,995",17.00,3.1%,100,52,53,0.0,81.9%
36260,"Ogden-Clearfield, UT",Utah,,,,MST,"683,864",17.74,2.6%,89,20,19,64.4,58.2%
36420,"Oklahoma City, OK",Oklahoma,,,,CST,"1,408,950",18.10,3.0%,106,29,37,7.6,59.3%
36540,"Omaha-Council Bluffs, NE-IA",Nebraska,Iowa,,,CST,"949,442",19.17,3.1%,95,13,31,26.4,78.7%
36740,"Orlando-Kissimmee-Sanford, FL",Florida,,,,EST,"2,608,147",16.50,3.0%,105,49,51,0.0,82.5%
37100,"Oxnard-Thousand Oaks-Ventura, CA",California,,,,PST,"846,006",19.49,3.6%,74,43,13,0.0,65.0%
37340,"Palm Bay-Melbourne-Titusville, FL",Florida,,,,EST,"601,942",17.98,3.2%,105,49,52,0.0,86.3%
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,New Jersey,Delaware,Maryland,EST,"6,102,434",21.08,4.1%,93,27,49,15.0,65.9%
38060,"Phoenix-Mesa-Chandler, AZ",Arizona,,,,MST,"4,948,203",18.95,4.1%,110,44,8,0.0,18.5%
38300,"Pittsburgh, PA",Pennsylvania,,,,EST,"2,317,600",19.50,4.3%,85,21,38,41.4,56.0%
38900,"Portland-Vancouver-Hillsboro, OR-WA",Oregon,Washington,,,PST,"2,492,412",21.80,3.5%,82,35,36,4.3,89.8%
39300,"Providence-Warwick, RI-MA",Rhode Island,Massachusets,,,EST,"1,624,578",20.53,3.6%,85,16,51,36.2,76.0%
39340,"Provo-Orem, UT",Utah,,,,MST,"648,252",17.29,2.4%,92,22,20,57.1,63.7%
39580,"Raleigh-Cary, NC",North Carolina,,,,EST,"1,390,785",20.02,3.4%,99,30,46,3.9,79.6%
40060,"Richmond, VA",Virginia,,,,EST,"1,291,900",19.51,2.9%,98,28,44,10.3,94.9%
40140,"Riverside-San Bernardino-Ontario, CA",California,,,,PST,"4,650,631",18.17,4.0%,112,42,12,0.0,18.4%
40380,"Rochester, NY",New York,,,,EST,"1,069,644",19.26,4.1%,83,17,34,99.5,86.9%
40900,"Sacramento-Roseville-Folsom, CA",California,,,,PST,"2,363,730",21.44,3.6%,92,38,19,0.0,54.2%
41620,"Salt Lake City, UT",Utah,,,,MST,"1,232,696",19.29,2.5%,91,22,16,56.2,51.3%
41700,"San Antonio-New Braunfels, TX",Texas,,,,CST,"2,550,960",17.37,3.1%,112,40,32,0.7,53.0%
41740,"San Diego-Chula Vista-Carlsbad, CA",California,,,,PST,"3,338,330",21.66,3.2%,78,48,10,0.0,31.3%
41860,"San Francisco-Oakland-Berkeley, CA",California,,,,PST,"4,731,803",27.42,2.6%,74,44,21,0.0,67.9%
41940,"San Jose-Sunnyvale-Santa Clara, CA",California,,,,PST,"1,990,660",29.80,2.6%,91,42,15,0.0,80.0%
42540,"Scranton-Wilkes-Barre, PA",Pennsylvania,,,,EST,"553,885",16.92,5.4%,84,18,38,46.2,91.0%
42660,"Seattle-Tacoma-Bellevue, WA",Washington,,,,PST,"3,979,845",25.65,3.3%,77,35,37,6.8,80.8%
44060,"Spokane-Spokane Valley, WA",Washington,,,,PST,"568,521",19.26,5.4%,83,22,17,44.9,79.1%
44140,"Springfield, MA",Massachusetts,,,,EST,"697,382",20.31,3.6%,85,15,50,49.8,84.4%
41180,"St. Louis, MO-IL",Missouri,Illinois,,,CST,"2,803,228",19.31,3.3%,95,23,41,17.7,44.9%
44700,"Stockton, CA",California,,,,PST,"762,148",18.31,5.9%,93,37,14,0.0,67.5%
45060,"Syracuse, NY",New York,,,,EST,"648,593",19.48,4.3%,84,15,38,123.8,90.1%
45300,"Tampa-St. Petersburg-Clearwater, FL",Florida,,,,EST,"3,194,831",17.87,3.2%,102,51,46,0.0,68.3%
45780,"Toledo, OH",Ohio,,,,EST,"641,816",17.95,4.4%,88,18,34,37.6,80.3%
46060,"Tucson, AZ",Arizona,,,,MST,"1,047,279",17.74,4.4%,107,39,12,0.6,47.6%
46140,"Tulsa, OK",Oklahoma,,,,CST,"998,626",17.71,3.3%,106,27,41,9.6,73.8%
46520,"Urban Honolulu, HI",Hawaii,,,,HAT,"974,563",22.07,2.6%,94,66,17,0.0,96.2%
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia,North Carolina,,,EST,"1,768,901",18.73,3.1%,96,33,47,5.8,97.1%
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,Virginia,Maryland,West Virginia,EST,"6,280,487",27.08,3.1%,94,28,40,15.4,82.3%
48620,"Wichita, KS",Kansas,,,,CST,"640,218",17.78,3.4%,101,22,33,14.9,79.1%
49180,"Winston-Salem, NC",North Carolina,,,,EST,"676,008",17.38,3.7%,96,30,47,7.5,77.9%
49340,"Worcester, MA-CT",Massachusetts,Connecticut,,,EST,"947,404",21.15,3.2%,81,16,48,64.1,86.9%
